Nordic_number,Stockout_start,Stockout_end
000159,2020-07-02,2020-07-02
000159,2020-07-16,2020-07-16
000164,2020-07-01,2020-09-28
000189,2018-10-15,2018-10-15
000189,2019-04-03,2019-04-03
000189,2019-04-16,2019-05-06
000189,2019-05-14,2019-05-20
000189,2019-07-01,2019-07-08
000189,2019-09-23,2019-09-23
000189,2019-10-07,2019-10-17
000189,2019-10-22,2019-10-28
000189,2019-12-10,2019-12-18
000189,2020-05-19,2020-05-25
000193,2018-12-20,2019-01-01
000193,2019-10-07,2019-10-07
000198,2018-03-26,2018-03-26
000209,2020-07-29,2020-09-29
000209,2020-12-29,2021-01-06
000225,2020-10-06,2020-11-19
000225,2020-11-24,2020-12-07
000225,2020-12-15,2020-12-15
000225,2020-12-21,2020-12-22
000237,2019-01-15,2019-03-13
000237,2019-03-20,2019-05-06
000261,2018-02-26,2018-04-09
000261,2018-04-17,2018-04-18
000261,2018-04-25,2018-05-14
000261,2018-09-03,2019-01-29
000261,2019-02-06,2020-01-10
000279,2020-06-10,2020-08-20
000279,2020-08-31,2020-10-30
000475,2019-12-20,2020-01-06
000514,2018-02-08,2018-06-29
000525,2018-01-31,2018-01-31
000525,2018-04-20,2018-05-01
000525,2018-05-07,2018-06-29
000552,2018-05-18,2018-07-03
000552,2019-12-30,2020-01-06
000552,2020-01-08,2020-01-08
000552,2020-01-20,2020-12-07
000598,2020-05-14,2020-05-14
000598,2020-11-23,2020-12-02
000598,2020-12-04,2021-01-06
000612,2018-11-15,2018-11-19
000612,2018-11-21,2018-12-28
000641,2019-05-16,2019-05-27
000641,2019-06-06,2019-07-04
000686,2018-01-01,2018-03-09
000701,2018-01-01,2018-03-09
000784,2018-10-24,2018-12-18
000784,2020-02-25,2020-05-07
000784,2020-05-15,2020-06-10
000784,2020-10-09,2020-10-09
000784,2020-10-14,2021-01-06
000799,2020-06-17,2020-06-18
000801,2018-01-04,2018-02-07
000801,2018-03-06,2018-03-08
000801,2019-01-09,2019-01-23
001004,2018-10-22,2018-10-22
001004,2018-10-25,2018-11-16
001004,2019-01-28,2019-01-30
001004,2019-05-24,2019-06-04
001009,2019-02-12,2019-02-19
001009,2019-02-22,2019-02-25
001009,2019-10-16,2019-10-16
001009,2019-11-18,2019-11-18
001009,2020-02-04,2020-02-18
001009,2020-03-02,2020-06-19
001009,2020-08-06,2020-08-10
001009,2020-09-17,2020-09-25
001009,2020-10-01,2020-10-08
001009,2020-12-22,2021-01-06
001029,2018-05-15,2018-05-16
001029,2018-11-19,2018-11-22
001029,2019-10-29,2019-12-09
001239,2018-09-18,2018-09-27
001239,2019-09-10,2019-09-11
001239,2020-08-17,2020-08-17
001304,2019-07-08,2019-07-08
001316,2020-03-31,2020-06-10
001344,2018-01-03,2018-01-04
001344,2019-07-30,2019-07-30
001344,2019-08-12,2019-12-16
001344,2019-12-18,2019-12-18
001344,2020-03-10,2020-06-10
001350,2020-03-03,2020-06-10
001490,2018-07-04,2018-07-12
001490,2018-12-04,2018-12-17
001511,2018-07-30,2018-08-10
001511,2019-11-04,2019-11-04
001549,2019-01-21,2019-01-21
001602,2018-01-01,2018-01-12
001605,2019-11-08,2019-11-19
001605,2019-12-12,2019-12-12
001605,2019-12-16,2019-12-19
001605,2020-07-16,2020-07-16
001684,2019-11-19,2020-02-06
001684,2020-06-10,2020-07-14
001706,2020-05-20,2020-06-24
001755,2019-09-25,2019-10-02
001815,2018-01-30,2018-03-05
001815,2018-03-20,2018-07-30
001815,2018-08-07,2018-08-09
001815,2018-08-29,2018-11-08
001815,2018-12-05,2018-12-17
001815,2018-12-19,2019-01-10
001815,2019-04-22,2020-01-30
001817,2018-02-14,2018-03-23
001817,2018-05-21,2018-06-14
001817,2018-10-31,2018-10-31
001817,2019-11-04,2019-11-04
001817,2019-12-02,2020-01-13
001817,2020-03-12,2020-03-30
001817,2020-04-03,2020-04-03
001817,2020-04-08,2020-04-20
001817,2020-04-22,2020-04-23
001817,2020-05-04,2020-05-04
001817,2020-05-20,2020-08-31
001874,2020-06-26,2020-06-26
001878,2020-10-13,2020-10-15
001878,2020-10-19,2020-10-30
001905,2019-01-03,2019-01-07
001905,2019-05-13,2019-05-13
001905,2021-01-05,2021-01-06
001926,2018-03-20,2019-01-10
001937,2018-03-20,2018-12-17
001950,2018-03-14,2018-05-16
001950,2018-06-07,2018-06-07
001950,2018-06-12,2018-06-18
001950,2018-07-20,2018-08-13
001950,2018-09-13,2018-09-21
001950,2018-10-15,2018-10-22
001950,2018-11-29,2019-01-10
001950,2019-07-25,2019-07-25
001950,2019-08-06,2020-01-28
001959,2018-03-20,2018-05-15
001959,2018-05-24,2018-05-24
001959,2018-06-07,2018-06-20
001959,2018-06-27,2018-06-29
001959,2018-07-03,2018-12-18
001959,2019-01-07,2019-01-10
001994,2018-01-11,2018-01-11
001994,2018-01-17,2018-01-26
001994,2018-02-07,2018-02-13
002019,2018-05-15,2018-05-25
002019,2018-11-12,2018-11-12
002019,2018-11-16,2018-11-16
002019,2020-04-02,2020-07-31
002019,2020-08-21,2020-08-24
002019,2020-08-28,2020-08-28
002019,2020-09-09,2020-09-09
002019,2020-09-30,2020-10-06
002019,2020-11-27,2020-11-30
002085,2020-04-06,2020-04-08
002085,2020-04-24,2020-04-24
002085,2020-05-04,2020-05-04
002085,2020-05-11,2020-05-11
002085,2020-05-18,2020-05-18
002085,2020-06-01,2020-06-01
002085,2020-06-11,2020-06-15
002085,2020-07-01,2020-07-01
002085,2020-09-01,2020-09-07
002085,2020-10-02,2020-10-06
002085,2020-10-09,2020-10-12
002085,2020-10-14,2020-10-23
002085,2020-10-30,2020-10-30
002124,2018-01-08,2018-01-08
002124,2019-02-18,2019-02-18
002124,2020-04-02,2020-05-22
002124,2020-06-01,2020-06-01
002124,2020-06-11,2020-07-31
002124,2020-08-28,2020-08-28
002124,2020-09-07,2020-09-07
002124,2020-09-18,2020-09-21
002124,2020-09-30,2020-10-06
002124,2020-10-14,2020-10-19
002124,2020-10-27,2020-10-28
002124,2020-12-23,2021-01-06
002193,2019-05-10,2019-06-13
002193,2020-06-12,2020-06-15
002194,2018-09-20,2018-09-26
002194,2018-10-18,2018-10-22
002194,2019-05-16,2019-05-29
002194,2019-10-17,2019-10-30
002194,2019-11-28,2019-12-05
002194,2020-03-16,2020-03-26
002194,2020-08-13,2020-08-13
002208,2018-01-03,2018-01-05
002208,2018-05-03,2018-05-03
002208,2020-01-09,2020-01-09
002208,2020-03-10,2020-03-10
002208,2020-07-10,2020-07-10
002208,2020-11-16,2020-11-19
002208,2020-11-27,2020-12-04
002245,2018-04-23,2018-04-30
002245,2019-11-01,2019-11-01
002245,2020-04-03,2020-10-23
002245,2020-10-30,2020-10-30
002245,2020-12-01,2020-12-03
002320,2019-12-16,2019-12-16
002325,2018-04-11,2018-04-17
002325,2019-07-01,2019-07-08
002328,2018-01-01,2018-03-05
002350,2019-05-31,2019-06-14
002350,2020-01-28,2020-02-07
002422,2018-01-01,2018-07-27
002616,2019-12-04,2019-12-04
002616,2020-05-07,2020-08-20
002616,2020-08-31,2021-01-06
002627,2020-02-28,2020-02-28
002627,2020-03-03,2020-04-15
002830,2019-02-21,2019-03-08
002830,2019-05-09,2019-06-11
002830,2019-12-19,2020-01-20
002830,2020-07-14,2020-09-30
002830,2020-10-02,2020-10-05
002943,2018-07-04,2018-07-04
002943,2019-01-31,2019-02-20
002943,2020-06-29,2020-06-29
003016,2019-09-27,2019-09-27
003016,2020-06-12,2020-06-15
003023,2018-06-07,2018-06-07
003064,2020-01-06,2020-01-08
003064,2020-06-12,2020-06-15
003158,2019-02-15,2019-02-15
003158,2019-06-17,2019-06-18
003164,2018-09-24,2018-09-24
003164,2018-12-07,2018-12-07
003164,2020-10-21,2020-10-29
003173,2018-01-01,2019-07-12
003175,2019-04-11,2019-04-11
003192,2018-04-12,2018-05-16
003195,2020-03-23,2020-03-23
003228,2019-04-10,2019-04-22
003228,2020-03-17,2020-03-18
003228,2020-04-02,2020-04-03
003228,2020-06-30,2020-07-22
003228,2020-12-11,2020-12-21
003310,2019-06-06,2019-06-06
003310,2020-03-24,2020-03-26
003325,2018-04-09,2018-04-09
003325,2021-01-05,2021-01-06
003455,2018-08-29,2018-09-04
003455,2019-04-04,2019-04-05
003493,2020-05-29,2020-06-15
003593,2018-02-09,2018-02-09
003593,2019-10-15,2019-10-22
003687,2019-05-28,2019-06-04
003687,2020-04-07,2020-04-14
003687,2020-04-20,2020-04-23
003687,2020-04-29,2020-05-14
003746,2018-01-01,2018-09-21
003755,2020-06-25,2020-06-29
003755,2020-07-01,2020-07-06
003755,2020-10-09,2020-10-09
003861,2018-01-01,2018-02-02
004003,2018-11-27,2019-03-20
004003,2019-03-22,2019-03-25
004014,2018-07-04,2018-07-20
004045,2018-07-04,2018-08-10
004045,2018-09-24,2018-09-28
004045,2018-10-02,2018-10-05
004045,2019-01-07,2019-05-24
004045,2019-07-17,2019-07-18
004045,2019-12-06,2019-12-09
004045,2019-12-17,2019-12-18
004045,2020-04-15,2020-07-01
004045,2020-12-29,2021-01-05
004171,2018-09-12,2018-09-20
004184,2019-06-04,2019-06-18
004193,2020-11-11,2021-01-06
004205,2019-01-11,2019-03-05
004205,2019-03-26,2019-03-29
004205,2019-04-04,2019-04-05
004205,2019-05-14,2019-06-04
004205,2020-06-08,2020-06-08
004205,2020-06-11,2020-06-12
004205,2020-06-22,2020-06-22
004205,2021-01-05,2021-01-06
004209,2019-03-21,2019-04-09
004209,2019-04-12,2019-04-12
004209,2019-04-16,2019-05-06
004209,2019-07-02,2019-07-04
004209,2020-04-28,2020-05-14
004209,2020-11-23,2020-11-23
004209,2021-01-05,2021-01-06
004213,2018-12-04,2018-12-04
004213,2018-12-06,2019-05-06
004213,2019-05-14,2019-05-14
004213,2019-06-17,2019-06-18
004213,2019-08-07,2019-12-16
004213,2020-01-20,2020-01-21
004213,2020-04-15,2020-04-15
004213,2020-04-29,2020-04-30
004213,2020-05-05,2020-05-07
004213,2020-05-14,2020-05-18
004213,2020-06-11,2020-07-03
004213,2020-12-03,2020-12-03
004213,2020-12-14,2020-12-15
004213,2020-12-21,2020-12-21
004215,2020-07-29,2021-01-06
004233,2018-09-12,2018-09-14
004233,2018-12-03,2018-12-03
004233,2018-12-07,2018-12-07
004233,2018-12-11,2019-02-08
004233,2019-09-06,2019-09-10
004233,2019-11-08,2019-11-12
004233,2020-06-01,2020-07-07
004241,2018-01-01,2018-01-17
004241,2018-12-18,2018-12-18
004241,2018-12-21,2018-12-21
004247,2018-05-18,2018-09-19
004247,2020-05-26,2021-01-06
004282,2018-05-18,2018-05-18
004282,2019-04-08,2019-04-10
004282,2019-11-04,2019-11-04
004292,2020-10-23,2020-12-07
004293,2019-01-08,2019-01-09
004293,2019-01-22,2019-01-23
004293,2019-01-25,2019-03-06
004293,2019-03-20,2019-03-20
004293,2019-03-22,2019-05-06
004293,2019-05-21,2019-05-29
004293,2019-08-21,2019-08-21
004293,2019-09-03,2019-09-06
004293,2019-10-21,2019-10-21
004294,2019-03-21,2019-03-21
004294,2019-03-27,2020-08-17
004294,2020-09-18,2020-09-21
004352,2018-05-29,2018-05-30
004352,2018-08-22,2018-08-22
004352,2018-11-21,2018-11-23
004352,2018-12-11,2018-12-11
004352,2018-12-19,2018-12-19
004352,2019-02-20,2019-02-21
004352,2019-04-03,2019-04-03
004352,2019-04-15,2019-04-15
004352,2019-05-02,2019-07-08
004352,2020-01-13,2020-01-16
004352,2020-03-12,2020-03-12
004352,2020-04-14,2020-04-14
004352,2020-04-28,2020-05-25
004352,2020-06-16,2020-06-17
004352,2020-08-11,2020-08-11
004352,2020-09-07,2020-09-07
004360,2019-01-18,2019-01-22
004360,2019-01-25,2019-01-29
004360,2019-04-01,2019-04-04
004360,2019-04-15,2020-07-02
004369,2019-01-22,2019-01-22
004369,2019-03-12,2019-03-21
004369,2019-05-23,2020-07-02
004369,2020-10-12,2020-10-21
004369,2020-12-28,2021-01-06
004385,2018-12-05,2019-01-10
004385,2019-04-15,2020-07-03
004385,2020-07-07,2020-07-20
004391,2018-12-10,2019-01-10
004391,2019-03-26,2020-07-08
004391,2020-07-10,2020-07-10
004391,2020-10-06,2020-10-28
004458,2018-01-15,2018-01-26
004458,2018-05-23,2018-05-31
004458,2019-10-01,2019-10-24
004458,2020-01-15,2020-01-30
004458,2020-10-12,2020-12-04
004458,2020-12-08,2020-12-21
004502,2018-01-26,2018-03-27
004502,2018-04-11,2018-04-12
004502,2019-03-20,2019-03-20
004586,2020-09-18,2020-09-21
004612,2018-05-09,2018-05-24
004612,2018-10-10,2018-10-12
004612,2018-10-18,2018-10-18
004612,2020-05-29,2020-08-17
