"NPL pack ID";"Nordic"
"10010101100025";"017331"
"10010101100070";"013632"
"10010101100155";"003505"
"10010101103040";"008850"
"10010101103057";"018596"
"10010101103859";"002328"
"10010101103897";"002294"
"10010101105129";"085910"
"10010101105815";"007997"
"10010101105822";"008011"
"10010101105976";"001769"
"10010101105990";"001572"
"10010101106126";"523134"
"10010101106140";"523126"
"10010101106157";"523720"
"10010101106164";"523621"
"10010101106201";"075009"
"10010101106287";"002422"
"10010101106294";"012831"
"10010101106430";"074814"
"10010101106447";"074824"
"10010101106713";"477547"
"10010101106720";"477661"
"10010101106744";"584284"
"10010101106881";"390849"
"10010101106898";"390831"
"10010101106911";"390856"
"10010101106928";"390872"
"10010101106935";"390898"
"10010101106942";"390880"
"10010101106959";"018187"
"10010101107291";"536896"
"10010101107338";"473694"
"10010101107345";"453472"
"10010101107369";"473942"
"10010101107376";"453514"
"10010101107383";"473959"
"10010101107550";"432739"
"10010101107833";"018231"
"10010101107857";"556696"
"10010101107864";"556704"
"10010101107888";"556720"
"10010101107901";"196956"
"10010101107987";"452672"
"10010101108373";"494435"
"10010101108380";"494534"
"10010101108434";"011528"
"10010101108526";"391011"
"10010101108717";"129817"
"10010101108823";"390823"
"10010101109370";"388447"
"10010101109387";"158725"
"10010101109394";"424317"
"10010101109509";"001127"
"10010101109516";"001398"
"10010101109622";"496216"
"10010101109639";"576560"
"10010101109646";"168500"
"10010101109820";"018148"
"10010101109837";"018165"
"10010101109899";"001134"
"10010101110864";"436741"
"10010101110871";"138683"
"10010101110888";"061184"
"10010101110895";"061234"
"10010101110918";"485512"
"10010101110932";"463927"
"10010101110949";"463935"
"10010101110956";"463943"
"10010101110963";"463984"
"10010101111090";"476606"
"10010101111151";"093344"
"10010101111427";"589011"
"10010101111434";"430408"
"10010101111786";"005306"
"10010101112097";"072793"
"10010101112134";"071753"
"10010101112714";"007536"
"10010101112721";"007547"
"10010101112783";"007558"
"10010101112790";"007569"
"10010101112967";"494591"
"10010101113186";"002276"
"10010101113650";"575340"
"10010101113674";"575324"
"10010101114046";"484857"
"10010101114374";"456335"
"10010101114381";"169880"
"10010101114411";"003812"
"10010101114923";"597562"
"10010101114930";"569173"
"10010101115067";"549485"
"10010101115166";"000301"
"10010101115425";"084233"
"10010101115456";"449082"
"10010101115463";"449108"
"10010101115531";"085093"
"10010101115548";"006530"
"10010101116323";"008715"
"10010101116354";"126037"
"10010101116361";"008947"
"10010101117436";"527838"
"10010101117450";"428102"
"10010101117573";"015461"
"10010101117634";"014852"
"10010101117689";"395723"
"10010101117870";"132769"
"10010101117887";"492785"
"10010101117894";"448134"
"10010101118006";"474643"
"10010101118754";"024034"
"10010101118945";"492843"
"10010101119331";"061538"
"10010101119362";"061595"
"10010101119515";"061607"
"10010101119546";"061550"
"10010101120306";"490151"
"10010101120863";"433250"
"10010101120887";"432229"
"10010101121266";"594141"
"10010101121273";"086108"
"10010101121280";"075069"
"10010101121341";"020871"
"10010101121358";"020847"
"10010101121396";"008708"
"10010101121402";"511832"
"10010101121617";"452862"
"10010101122188";"021402"
"10010101122287";"021469"
"10010101122294";"021048"
"10010101122348";"021345"
"10010101122850";"016860"
"10010101122867";"016879"
"10010101122881";"015383"
"10010101122898";"015045"
"10010101122928";"015394"
"10010101123642";"173476"
"10010101123659";"173310"
"10010101123680";"173518"
"10010101123772";"000432"
"10010101123789";"000099"
"10010101123796";"000452"
"10010101123819";"003687"
"10010101123840";"175075"
"10010101123857";"175463"
"10010101123918";"005603"
"10010101123925";"005595"
"10010101123949";"005439"
"10010101123963";"005421"
"10010101123994";"005496"
"10010101124007";"005504"
"10010101124243";"553552"
"10010101124250";"553545"
"10010101124267";"553560"
"10010101124588";"186866"
"10010101124601";"186916"
"10010101128210";"173872"
